title,rate,num,info,director,actor,time,country,type
肖申克的救赎,9.7,2870400人,希望让人自由。,弗兰克·德拉邦特FrankDarabont,蒂姆·罗宾斯TimRobbins,1994,美国,犯罪
霸王别姬,9.6,2120932人,风华绝代。,陈凯歌KaigeChen,张国荣LeslieCheung,1993,中国大陆,剧情
阿甘正传,9.5,2142424人,一部美国近现代史。,罗伯特·泽米吉斯RobertZemeckis,汤姆·汉克斯TomHanks,1994,美国,剧情
泰坦尼克号,9.5,2168013人,失去的才是永恒的。 ,詹姆斯·卡梅隆JamesCameron,莱昂纳多·迪卡普里奥Leonardo,1997,美国,剧情
这个杀手不太冷,9.4,2278563人,怪蜀黍和小萝莉不得不说的故事。,吕克·贝松LucBesson,让·雷诺JeanReno,1994,法国,剧情
千与千寻,9.4,2223383人,最好的宫崎骏，最好的久石让。 ,宫崎骏HayaoMiyazaki,柊瑠美RumiHîragi,2001,日本,剧情
美丽人生,9.6,1315763人,最美的谎言。,罗伯托·贝尼尼RobertoBenigni,罗伯托·贝尼尼RobertoBeni,1997,意大利,剧情
辛德勒的名单,9.6,1096391人,拯救一个人，就是拯救整个世界。,史蒂文·斯皮尔伯格StevenSpielberg,连姆·尼森LiamNeeson,1993,美国,剧情
星际穿越,9.4,1812893人,爱是一种力量，让我们超越时空感知它的存在。,克里斯托弗·诺兰ChristopherNolan,马修·麦康纳MatthewMc,2014,美国,剧情
盗梦空间,9.4,2042422人,诺兰给了我们一场无法盗取的梦。,克里斯托弗·诺兰ChristopherNolan,莱昂纳多·迪卡普里奥Le,2010,美国,剧情
楚门的世界,9.4,1686383人,如果再也不能见到你，祝你早安，午安，晚安。,彼得·威尔PeterWeir,金·凯瑞JimCarrey,1998,美国,剧情
忠犬八公的故事,9.4,1389326人,永远都不能忘记你所爱的人。,莱塞·霍尔斯道姆LasseHallström,理查·基尔RichardGe,2009,美国,剧情
海上钢琴师,9.3,1664539人,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,朱塞佩·托纳多雷GiuseppeTornatore,蒂姆·罗斯TimRoth,1998,意大利,剧情
三傻大闹宝莱坞,9.2,1844215人,英俊版憨豆，高情商版谢耳朵。,拉库马·希拉尼RajkumarHirani,阿米尔·汗AamirKhan,2009,印度,剧情
放牛班的春天,9.3,1299606人,天籁一般的童声，是最接近上帝的存在。 ,克里斯托夫·巴拉蒂ChristopheBarratier,让-巴蒂斯特·莫尼,2004,法国,剧情
机器人总动员,9.3,1305231人,小瓦力，大人生。,安德鲁·斯坦顿AndrewStanton,本·贝尔特BenBurtt,2008,美国,科幻
无间道,9.3,1349629人,香港电影史上永不过时的杰作。,刘伟强,刘德华AndyLau,2002,中国香港,剧情
疯狂动物城,9.2,1912137人,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,拜伦·霍华德ByronHoward,金妮弗·,2016,美国,喜剧
控方证人,9.6,546598人,比利·怀德满分作品。,比利·怀尔德BillyWilder,泰隆·鲍华TyronePower,1957,美国,剧情
大话西游之大圣娶亲,9.2,1520647人,一生所爱。,刘镇伟JeffreyLau,周星驰StephenChow,1995,中国香港,喜剧
熔炉,9.4,923996人,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,黄东赫Dong-hyukHwang,孔侑YooGong,2011,韩国,剧情
教父,9.3,958177人,千万不要记恨你的对手，这样会让你失去理智。,弗朗西斯·福特·科波拉FrancisFordCoppola,马龙·白兰度M,1972,美国,剧情
触不可及,9.3,1101690人,满满温情的高雅喜剧。,奥利维·那卡什OlivierNakache,演职人员不详,2011,法国,剧情
当幸福来敲门,9.2,1507831人,平民励志片。 ,加布里尔·穆奇诺GabrieleMuccino,威尔·史密斯WillSmith,2006,美国,剧情
怦然心动,9.1,1816643人,真正的幸福是来自内心深处。,罗伯·莱纳RobReiner,玛德琳·卡罗尔MadelineCarroll,2010,美国,剧情
龙猫,9.2,1255243人,人人心中都有个龙猫，童年就永远不会消失。,宫崎骏HayaoMiyazaki,日高法子NorikoHidaka,1988,日本,动画
末代皇帝,9.3,874186人,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,贝纳尔多·贝托鲁奇BernardoBertolucci,尊龙JohnLone,1987,英国,剧情
寻梦环游记,9.1,1659719人,死亡不是真的逝去，遗忘才是永恒的消亡。,李·昂克里奇LeeUnkrich,演职人员不详,2017,美国,喜剧
活着,9.3,835586人,张艺谋最好的电影。,张艺谋YimouZhang,葛优YouGe,1994,中国大陆,剧情
蝙蝠侠：黑暗骑士,9.2,1046013人,无尽的黑暗。,克里斯托弗·诺兰ChristopherNolan,克里斯蒂安·贝尔Christ,2008,美国,剧情
哈利·波特与魔法石,9.2,1175547人,童话世界的开端。,ChrisColumbus,DanielRadcliffe,2001,美国,奇幻
指环王3：王者无敌,9.3,795077人,史诗的终章。,彼得·杰克逊PeterJackson,伊利亚·伍德ElijahWood,2003,美国,剧情
乱世佳人,9.3,685551人,Tomorrow is another day.,维克多·弗莱明VictorFleming,费,1939,美国,剧情
我不是药神,9.0,2081901人,对我们国家而言，这样的电影多一部是一部。,文牧野MuyeWen,徐峥ZhengXu,2018,中国大陆,剧情
飞屋环游记,9.1,1312081人,最后那些最无聊的事情，才是最值得怀念的。 ,彼特·道格特PeteDocter,爱德,2009,美国,剧情
素媛,9.3,680227人,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,李濬益Jun-ikLee,薛景求Kyung-guSol,2013,韩国,剧情
哈尔的移动城堡,9.1,1013944人,带着心爱的人在天空飞翔。,宫崎骏HayaoMiyazaki,倍赏千惠子ChiekoBaishô,2004,日本,动画
十二怒汉,9.4,484644人,1957年的理想主义。 ,SidneyLumet,亨利·方达HenryFonda,1957,美国,剧情
何以为家,9.1,1035013人,凝视卑弱生命，用电影改变命运。,娜丁·拉巴基NadineLabaki,扎因·拉费阿Zainal-Rafeea,2018,黎巴嫩,剧情
摔跤吧！爸爸,9.0,1556034人,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,涅提·蒂瓦里NiteshTiwari,阿米尔·汗AamirKhan,2016,印度,剧情
让子弹飞,9.0,1683006人,你给我翻译翻译，神马叫做TMD的惊喜。,姜文WenJiang,姜文WenJiang,2010,中国大陆,剧情
鬼子来了,9.3,621076人,对敌人的仁慈，就是对自己残忍。,姜文WenJiang,姜文WenJiang,2000,中国大陆,剧情
猫鼠游戏,9.1,1011386人,骗子大师和执著警探的你追我跑故事。 ,史蒂文·斯皮尔伯格StevenSpielberg,莱昂纳多·迪卡普里奥L,2002,美国,传记
